nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
Fernanda Jiménez,VOLEIBOL,36.0,89.9,184.0,50.0,13.6,5.71,DELANTERO
Roxana Salinas,CICLISMO,26.0,98.6,184.0,52.0,13.0,1.93,CORREDOR
Patricio Bravo,CICLISMO,25.0,98.2,166.0,76.0,3.2,5.88,CORREDOR
María González,CICLISMO,45.0,83.2,162.0,67.0,21.7,7.79,CORREDOR
Mónica Ortega,FUTBOL,22.0,83.8,173.0,60.0,18.0,6.17,CICLISTA
Marcela Varela,NATACION,22.0,67.4,199.0,72.0,15.5,3.93,PORTERO
Pedro Rodríguez,RUGBY,18.0,75.9,196.0,84.0,5.0,9.08,PORTERO
Andrés Flores,FUTBOL,42.0,57.3,186.0,86.0,18.5,6.03,NADADOR
Héctor Suárez,NATACIÓ,31.0,89.3,194.0,85.0,8.5,9.88,ATACANTE
Mauricio Vega,FUTBOL,21.0,94.0,177.0,52.0,24.0,4.26,CICLISTA
Felipe Muñoz,BALONCESTO,25.0,92.7,200.0,84.0,8.6,6.75,DELANTERO
Tomás Gutiérrez,TENIS,16.0,89.7,187.0,85.0,16.8,8.81,CORREDOR
Camila Díaz,ATLETISMO,39.0,96.8,162.0,87.0,9.9,9.74,DEFENSA
Manuel Leal,NATACION,44.0,99.8,181.0,72.0,20.4,7.85,CICLISTA
Roxana Salinas,RUGBY,150.0,99.9,170.0,90.0,5.4,5.583822014051522,DEFENSA
Marisol Figueroa,CICLISMO,44.0,73.0,179.0,73.0,6.6,6.63,CORREDOR
Lorena Mendoza,TENIS,16.0,56.5,195.0,46.0,7.8,3.21,DEFENSA
María González,ATLETISMO,18.0,82.6,191.0,74.0,15.1,6.33,CICLISTA
Manuel Leal,FUTBOL,27.0,82.2,200.0,73.0,24.2,5.45,CORREDOR
Mónica Ortega,BALONCESTO,20.0,80.09667630057803,161.0,58.0,21.2,2.71,DEFENSA
Luis Parra,BALONCESTO,44.0,80.09667630057803,159.0,73.0,16.4,7.9,DEFENSA
Camila Díaz,CICLISMO,20.0,72.3,192.0,56.0,19.6,5.96,CICLISTA
Eduardo Soto,VOLEIBOL,27.0,99.0,183.0,60.0,6.5,1.74,ATACANTE
Tomás Gutiérrez,FUTBOL,36.0,89.6,164.0,63.0,20.4,15.0,CORREDOR
Felipe Muñoz,TENIS,45.0,68.3,196.0,61.0,12.9,7.93,DEFENSA
Pedro Rodríguez,VOLEIBOL,43.0,91.1,171.0,52.0,20.0,6.95,CORREDOR
Héctor Suárez,RUGBY,40.0,57.2,193.0,73.0,12.6,8.12,DEFENSA
Carlos Pérez,FUTBOL,39.0,96.2,165.0,69.75212464589235,23.6,6.35,NADADOR
Ricardo Álvarez,TENNIS,38.0,75.3,175.0,56.0,17.7,9.1,MEDIOCAMPISTA
Gabriela Morales,NATACION,25.0,80.9,166.0,53.0,21.9,7.37,PORTERO
María González,VOLEIBOL,30.0,56.2,183.0,85.0,21.9,1.29,MEDIOCAMPISTA
Camila Díaz,FUTBOL,21.0,99.8,174.0,10.0,3.3,1.22,DEFENSA
Paola Romero,RUGBY,38.0,104.1,167.0,47.0,22.4,8.06,
Héctor Suárez,BALONCESTO,34.0,56.1,185.0,52.0,11.9,8.02,DEFENSA
Camila Díaz,NATACIÓ,35.0,97.7,173.0,80.0,24.1,2.94,NADADOR
Marisol Figueroa,FUTBOL,28.0,95.7,182.0,60.0,16.6,8.04,MEDIOCAMPISTA
Lorena Mendoza,NATACION,43.0,95.8,184.0,79.0,13.866635071090046,20.0,CICLISTA
Marcela Varela,ATLETISMO,26.0,65.6,188.0,90.0,15.1,4.23,PORTERO
Cristian Medina,FUTBOL,45.0,80.0,182.0,63.0,13.6,4.58,NADADOR
Roxana Salinas,BASKETBALL,27.0,66.7,178.0,60.0,5.1,5.82,DELANTERO
María González,NATACION,16.0,96.5,192.0,47.0,10.5,5.583822014051522,NADADOR
Patricia Ramos,ATLETISMO,25.0,62.8,186.0,63.0,8.5,6.15,DELANTERO
Pilar Contreras,VOLEIBOL,26.0,71.2,167.0,88.0,12.3,5.61,MEDIOCAMPISTA
Felipe Muñoz,CICLISMO,23.0,80.09667630057803,188.0,50.0,18.1,1.54,MEDIOCAMPISTA
Claudia Herrera,ATLETISMO,21.0,67.9,177.0,90.0,24.7,4.65,
Ricardo Álvarez,FUTBOL,42.0,76.4,179.5212464589235,84.0,14.0,9.5,MEDIOCAMPISTA
Luis Parra,NATACION,16.0,64.9,179.0,57.0,24.6,7.14,DEFENSA
Rodrigo Sandoval,VOLEIBOL,44.0,63.3,188.0,47.0,6.7,4.49,MEDIOCAMPISTA
Rodrigo Sandoval,BOXEO,28.0,101.2,179.0,59.0,4.0,8.94,MEDIOCAMPISTA
Juan López,VOLEIBOL,33.0,89.8,192.0,87.0,7.1,6.42,DEFENSA
Ignacio Peña,BOXEO,39.0,103.2,169.0,52.0,15.2,3.98,CICLISTA
César Sepúlveda,BOXEO,42.0,80.09667630057803,199.0,54.0,19.6,1.81,CICLISTA
Patricia Ramos,FUTBOL,33.0,86.3,160.0,50.0,18.8,2.87,CICLISTA
Natalia Cruz,TENNIS,28.0,62.0,183.0,87.0,23.8,5.583822014051522,NADADOR
Manuel Leal,BALONCESTO,31.050934579439254,60.1,177.0,84.0,24.5,9.89,MEDIOCAMPISTA
Isabella Castro,TENIS,26.0,89.2,184.0,84.0,14.1,1.21,CORREDOR
Camila Díaz,TENIS,33.0,77.1,170.0,79.0,19.3,1.84,CORREDOR
Gonzalo Fuentes,TENIS,19.0,72.0,172.0,57.0,11.2,6.61,PORTERO
Camila Díaz,ATLETISMO,35.0,104.0,194.0,72.0,20.6,9.0,PORTERO
Sofía Hernández,ATLETISMO,34.0,76.4,174.0,45.0,19.5,9.22,ATACANTE
Felipe Muñoz,FUTBOL,22.0,61.1,195.0,86.0,17.7,2.33,NADADOR
Roberto Castillo,FUTBOL,39.0,55.6,188.0,85.0,6.9,9.11,NADADOR
María González,ATLETISMO,16.0,87.7,187.0,87.0,20.6,2.07,
Mauricio Vega,RUGBY,30.0,99.0,189.0,47.0,0.1,1.75,CORREDOR
Nicolás Reyes,ATLETISMO,30.0,92.0,194.0,63.0,23.4,7.91,PORTERO
César Sepúlveda,FUTBOL,43.0,89.3,181.0,49.0,10.0,1.77,ATACANTE
Juan López,NATACION,37.0,99.4,187.0,10.0,8.0,4.8,DELANTERO
Diego Torres,BALONCESTO,35.0,101.9,169.0,69.75212464589235,0.1,8.34,CICLISTA
Catalina Mora,NATACION,16.0,104.1,179.5212464589235,83.0,22.9,5.32,DELANTERO
Natalia Cruz,ATLETISMO,21.0,60.2,199.0,52.0,6.6,4.35,PORTERO
Mónica Ortega,BOXEO,24.0,84.2,185.0,69.75212464589235,6.2,9.73,MEDIOCAMPISTA
Enrique Valenzuela,RUGBY,31.0,69.2,198.0,60.0,12.6,7.37,ATACANTE
Tomás Gutiérrez,RUGBY,26.0,71.0,173.0,70.0,7.4,1.24,ATACANTE
Sebastián Rojas,NATACION,28.0,99.1,194.0,50.0,11.2,3.81,NADADOR
Paola Romero,FUTBOL,27.0,61.1,177.0,77.0,4.4,5.23,MEDIOCAMPISTA
Tomás Gutiérrez,TENNIS,31.050934579439254,88.3,195.0,68.0,13.4,8.52,DEFENSA
Daniela Vargas,TENIS,20.0,80.09667630057803,192.0,53.0,19.6,8.02,ATACANTE
Enrique Valenzuela,CICLISMO,21.0,73.2,160.0,50.0,17.7,5.583822014051522,ATACANTE
Carolina Ríos,BOXEO,45.0,80.09667630057803,189.0,71.0,22.0,5.01,ATACANTE
Luis Parra,NATACION,16.0,100.1,197.0,76.0,7.3,3.03,DELANTERO
Gabriela Morales,BASKETBALL,31.050934579439254,61.6,175.0,69.75212464589235,9.9,1.59,PORTERO
Alicia Campos,CICLISMO,17.0,91.6,186.0,69.75212464589235,15.9,7.1,DELANTERO
Claudia Herrera,BALONCESTO,26.0,92.0,179.0,67.0,5.4,8.44,
Sebastián Rojas,RUGBY,19.0,96.9,195.0,69.0,3.6,5.583822014051522,CORREDOR
Gonzalo Fuentes,VOLEIBOL,28.0,96.5,202.0,71.0,4.1,5.44,MEDIOCAMPISTA
María González,ATLETISMO,26.0,80.09667630057803,196.0,71.0,23.5,7.34,ATACANTE
Pilar Contreras,FUTBOL,21.0,80.09667630057803,195.0,46.0,19.1,1.27,NADADOR
Daniela Vargas,CICLISMO,44.0,64.3,184.0,66.0,13.2,7.98,
Ana Martínez,TENIS,36.0,81.4,192.0,55.0,17.5,7.48,ATACANTE
Catalina Mora,ATLETISMO,21.0,68.2,195.0,82.0,16.3,6.62,DELANTERO
Nicolás Reyes,VOLEIBOL,43.0,97.2,165.0,75.0,8.4,3.95,CICLISTA
Alejandro Núñez,RUGBY,38.0,65.0,194.0,89.0,17.5,7.7,DELANTERO
Alicia Campos,NATACION,32.0,72.9,184.0,76.0,5.0,2.69,DEFENSA
Alicia Campos,NATACIÓ,25.0,91.8,184.0,57.0,16.2,5.04,CICLISTA
Daniela Vargas,ATLETISMO,42.0,94.2,192.0,57.0,5.6,8.19,PORTERO
Camila Díaz,BASKETBALL,34.0,87.1,177.0,69.0,14.6,9.91,ATACANTE
Alejandro Núñez,FUTBOL,33.0,92.4,164.0,57.0,16.5,6.94,MEDIOCAMPISTA
Rodrigo Sandoval,ATLETISMO,36.0,80.09667630057803,162.0,70.0,16.7,5.57,
Daniela Vargas,NATACION,39.0,59.2,162.0,87.0,6.2,8.13,ATACANTE
Mónica Ortega,BOXEO,26.0,80.09667630057803,183.0,71.0,13.866635071090046,4.14,CORREDOR
Roberto Castillo,NATACION,45.0,69.4,30.0,87.0,4.9,8.1,CORREDOR
Alejandro Núñez,VOLEIBOL,32.0,66.8,195.0,57.0,13.3,5.583822014051522,NADADOR
Luis Parra,NATACION,20.0,55.1,198.0,66.0,24.6,1.27,CORREDOR
Roberto Castillo,FUTBOL,24.0,58.4,195.0,47.0,17.1,5.31,DEFENSA
Alicia Campos,NATACION,28.0,98.4,183.0,74.0,17.4,6.6,CICLISTA
Enrique Valenzuela,RUGBY,41.0,69.0,192.0,300.0,23.2,7.84,CORREDOR
Pedro Rodríguez,CICLISMO,44.0,79.1,166.0,67.0,5.0,9.79,NADADOR
Claudia Herrera,RUGBY,36.0,88.2,185.0,73.0,19.7,6.54,ATACANTE
Marcela Varela,RUGBY,16.0,86.1,177.0,86.0,22.7,3.03,CICLISTA
Verónica Aguilar,NATACIÓ,27.0,103.9,170.0,89.0,3.3,6.51,CORREDOR
Eduardo Soto,ATLETISMO,24.0,56.5,194.0,54.0,23.4,1.56,NADADOR
Matías Silva,VOLEIBOL,38.0,88.0,202.0,71.0,16.9,3.25,MEDIOCAMPISTA
Pedro Rodríguez,NATACION,32.0,92.5,194.0,54.0,10.7,7.18,DEFENSA
César Sepúlveda,BALONCESTO,27.0,76.0,179.5212464589235,71.0,23.0,6.59,
Verónica Aguilar,RUGBY,36.0,80.3,200.0,67.0,16.0,8.95,CORREDOR
Roberto Castillo,CICLISMO,38.0,60.2,186.0,10.0,5.9,1.15,DEFENSA
Valentina Ramírez,FUTBOL,34.0,95.3,179.5212464589235,61.0,19.9,6.38,DEFENSA
Enrique Valenzuela,FUTBOL,21.0,91.3,187.0,78.0,10.2,8.31,DELANTERO
Tomás Gutiérrez,FUTBOL,39.0,58.2,186.0,47.0,17.5,9.99,
Héctor Suárez,VOLEIBOL,19.0,92.7,181.0,54.0,0.1,9.94,DEFENSA
Héctor Suárez,FUTBOL,23.0,59.4,172.0,64.0,13.2,4.49,MEDIOCAMPISTA
Héctor Suárez,VOLEIBOL,31.050934579439254,80.09667630057803,179.0,82.0,20.6,9.86,
Isabella Castro,CICLISMO,33.0,63.1,165.0,76.0,13.866635071090046,8.93,DEFENSA
Marcela Varela,VOLEIBOL,17.0,66.4,162.0,73.0,19.9,7.92,ATACANTE
Catalina Mora,FUTBOL,18.0,89.8,188.0,81.0,5.1,7.05,MEDIOCAMPISTA
Francisca Lagos,BASKETBALL,43.0,91.4,170.0,45.0,7.3,9.24,NADADOR
Ana Martínez,FUTBOL,25.0,103.2,158.0,55.0,6.2,3.26,NADADOR
Gonzalo Fuentes,FUTBOL,37.0,97.1,167.0,79.0,16.9,7.25,DEFENSA
Juan López,CICLISMO,22.0,70.9,198.0,51.0,14.1,4.74,DELANTERO
Héctor Suárez,NATACIÓ,25.0,75.4,173.0,56.0,5.4,4.74,ATACANTE
Catalina Mora,CICLISMO,38.0,98.0,165.0,55.0,15.6,1.96,CORREDOR
Marcela Varela,FUTBOL,24.0,79.8,162.0,46.0,4.8,8.99,CICLISTA
Roxana Salinas,FUTBOL,40.0,57.0,179.0,74.0,5.7,6.7,CORREDOR
Gonzalo Fuentes,CICLISMO,38.0,68.3,166.0,71.0,6.4,9.37,ATACANTE
Paola Romero,TENIS,26.0,74.2,199.0,69.75212464589235,11.6,4.16,CICLISTA
Mauricio Vega,BALONCESTO,36.0,74.7,195.0,64.0,3.1,8.22,DEFENSA
Felipe Muñoz,RUGBY,39.0,79.4,199.0,52.0,7.9,4.82,
Daniela Vargas,VOLEIBOL,38.0,97.9,197.0,57.0,11.2,6.51,DEFENSA
Manuel Leal,BASKETBALL,41.0,77.2,195.0,50.0,20.8,8.77,CICLISTA
Isabella Castro,CICLISMO,38.0,78.3,179.5212464589235,63.0,7.7,2.09,CORREDOR
Natalia Cruz,CICLISMO,45.0,76.6,200.0,50.0,4.6,7.62,CICLISTA
Valentina Ramírez,VOLEIBOL,4.0,55.1,200.0,49.0,20.3,5.583822014051522,
Alicia Campos,NATACION,32.0,69.5,177.0,51.0,5.7,1.51,DEFENSA
Enrique Valenzuela,VOLEIBOL,34.0,96.9,186.0,75.0,17.9,5.31,NADADOR
Sofía Hernández,BALONCESTO,22.0,58.6,179.5212464589235,86.0,19.2,4.15,CORREDOR
Daniela Vargas,RUGBY,23.0,68.2,188.0,89.0,7.2,2.08,MEDIOCAMPISTA
Ignacio Peña,BALONCESTO,17.0,95.8,186.0,68.0,15.4,5.583822014051522,DELANTERO
Juan López,CICLISMO,21.0,86.1,185.0,52.0,3.9,3.43,CICLISTA
Verónica Aguilar,CICLISMO,28.0,56.2,191.0,90.0,3.7,5.583822014051522,DEFENSA
Felipe Muñoz,NATACION,28.0,102.4,192.0,90.0,24.3,8.2,ATACANTE
Tomás Gutiérrez,NATACION,20.0,58.0,200.0,57.0,11.1,2.86,CICLISTA
César Sepúlveda,FUTBOL,30.0,55.2,175.0,48.0,4.4,3.86,PORTERO
Andrés Flores,BALONCESTO,29.0,80.09667630057803,173.0,49.0,24.9,5.583822014051522,ATACANTE
Claudia Herrera,BASKETBALL,40.0,59.9,200.0,64.0,4.4,3.94,NADADOR
Lorena Mendoza,VOLEIBOL,40.0,83.9,170.0,73.0,6.5,1.92,CORREDOR
Enrique Valenzuela,BALONCESTO,45.0,88.0,175.0,53.0,19.9,3.5,ATACANTE
Roxana Salinas,CICLISMO,20.0,75.0,185.0,67.0,15.9,4.32,PORTERO
Paola Romero,RUGBY,33.0,78.7,184.0,89.0,8.8,3.05,DELANTERO
Rodrigo Sandoval,ATLETISMO,22.0,62.6,177.0,45.0,20.3,4.62,NADADOR
Natalia Cruz,ATLETISMO,32.0,101.3,190.0,73.0,17.3,4.62,CORREDOR
César Sepúlveda,NATACION,25.0,79.6,164.0,54.0,13.866635071090046,1.1,PORTERO
Pedro Rodríguez,CICLISMO,22.0,80.09667630057803,190.0,75.0,21.5,6.38,PORTERO
Luis Parra,BASKETBALL,45.0,68.7,198.0,88.0,21.7,3.12,CICLISTA
María González,FUTBOL,35.0,55.6,193.0,81.0,6.7,2.5,PORTERO
Roberto Castillo,FUTBOL,29.0,80.09667630057803,191.0,67.0,24.7,8.71,CORREDOR
Enrique Valenzuela,TENIS,31.050934579439254,100.9,196.0,72.0,9.0,5.24,PORTERO
Luis Parra,NATACION,20.0,80.5,160.0,66.0,17.6,2.58,DELANTERO
Rodrigo Sandoval,BOXEO,45.0,79.8,159.0,5.0,3.7,6.6,
Paola Romero,BOXEO,17.0,59.9,200.0,79.0,6.4,4.67,PORTERO
Verónica Aguilar,ATLETISMO,44.0,102.3,202.0,72.0,20.4,20.0,DEFENSA
Alicia Campos,RUGBY,22.0,84.2,166.0,59.0,17.6,7.31,
Pilar Contreras,VOLEIBOL,37.0,88.0,180.0,78.0,9.9,5.583822014051522,CORREDOR
Roxana Salinas,CICLISMO,33.0,97.3,199.0,80.0,19.7,7.89,DELANTERO
Gabriela Morales,NATACION,45.0,56.3,174.0,69.0,9.3,1.26,CICLISTA
Pilar Contreras,ATLETISMO,35.0,104.6,191.0,69.0,8.5,6.66,ATACANTE
Sebastián Rojas,BALONCESTO,44.0,56.8,200.0,56.0,7.7,3.3,ATACANTE
Ricardo Álvarez,BALONCESTO,4.0,82.8,162.0,74.0,8.0,5.8,CICLISTA
Matías Silva,FUTBOL,44.0,60.8,178.0,58.0,19.2,5.68,CORREDOR
Francisca Lagos,FUTBOL,34.0,66.6,162.0,63.0,3.8,1.33,
Gabriela Morales,TENIS,33.0,57.0,182.0,57.0,10.4,5.41,ATACANTE
Tomás Gutiérrez,BASKETBALL,16.0,80.09667630057803,190.0,79.0,5.8,2.89,DELANTERO
Enrique Valenzuela,NATACION,45.0,94.5,187.0,51.0,14.8,6.74,
Daniela Vargas,VOLEIBOL,42.0,77.6,179.5212464589235,69.0,12.1,5.89,CICLISTA
Valentina Ramírez,BASKETBALL,44.0,77.5,163.0,69.75212464589235,13.866635071090046,3.04,PORTERO
Eduardo Soto,RUGBY,18.0,72.0,160.0,51.0,24.8,15.0,CICLISTA
Daniela Vargas,BOXEO,44.0,80.09667630057803,179.0,83.0,7.1,4.03,PORTERO
Marcela Varela,TENNIS,43.0,94.6,168.0,77.0,17.7,9.68,ATACANTE
Cristian Medina,NATACION,24.0,80.09667630057803,192.0,87.0,23.9,2.12,
Pilar Contreras,BOXEO,38.0,82.9,190.0,46.0,10.5,2.63,DEFENSA
Natalia Cruz,RUGBY,16.0,86.5,196.0,84.0,5.9,1.34,CORREDOR
Manuel Leal,BOXEO,37.0,94.4,196.0,69.75212464589235,23.1,4.62,DELANTERO
Claudia Herrera,TENIS,35.0,78.0,179.5212464589235,90.0,3.0,4.35,NADADOR
Eduardo Soto,NATACION,29.0,55.5,164.0,81.0,13.2,1.31,NADADOR
Fernanda Jiménez,TENNIS,29.0,95.8,183.0,50.0,23.5,2.24,PORTERO
Sofía Hernández,FUTBOL,32.0,76.3,176.0,76.0,20.8,-5.0,ATACANTE
Fernanda Jiménez,FUTBOL,23.0,70.2,161.0,69.75212464589235,16.4,5.34,MEDIOCAMPISTA
Francisca Lagos,TENNIS,21.0,89.8,169.0,57.0,10.1,7.6,DELANTERO
Verónica Aguilar,RUGBY,39.0,90.9,165.0,48.0,12.7,9.62,MEDIOCAMPISTA
Mauricio Vega,TENIS,31.050934579439254,72.9,180.0,46.0,18.8,1.59,ATACANTE
Patricio Bravo,NATACION,4.0,71.8,185.0,51.0,22.9,9.79,ATACANTE
Andrés Flores,BASKETBALL,32.0,62.8,170.0,63.0,10.8,9.7,DELANTERO
Enrique Valenzuela,VOLEIBOL,31.050934579439254,65.1,171.0,88.0,13.866635071090046,7.39,DEFENSA
Pilar Contreras,RUGBY,24.0,83.7,187.0,77.0,3.5,3.22,MEDIOCAMPISTA
Matías Silva,NATACION,21.0,96.4,200.0,68.0,15.0,1.08,ATACANTE
Lorena Mendoza,BOXEO,45.0,89.3,178.0,84.0,3.0,7.87,MEDIOCAMPISTA
Alicia Campos,TENIS,20.0,80.09667630057803,170.0,86.0,21.5,7.93,DEFENSA
Marcela Varela,BASKETBALL,37.0,72.4,160.0,67.0,15.0,9.06,NADADOR
Pilar Contreras,ATLETISMO,19.0,89.9,176.0,67.0,19.6,5.32,MEDIOCAMPISTA
Valentina Ramírez,TENIS,27.0,92.5,201.0,78.0,6.4,3.19,DELANTERO
Sebastián Rojas,BALONCESTO,41.0,80.09667630057803,180.0,64.0,15.0,9.72,DELANTERO
Pedro Rodríguez,ATLETISMO,24.0,72.2,193.0,51.0,11.4,5.583822014051522,DEFENSA
Cristian Medina,BOXEO,41.0,82.0,175.0,87.0,12.5,8.81,
Javiera Espinoza,TENIS,36.0,64.0,172.0,49.0,20.5,7.71,CICLISTA
Cristian Medina,BASKETBALL,25.0,86.2,200.0,48.0,20.0,1.67,CICLISTA
Enrique Valenzuela,FUTBOL,25.0,63.4,173.0,58.0,8.0,3.6,DEFENSA
María González,NATACION,18.0,58.6,172.0,50.0,10.0,4.36,DEFENSA
Roberto Castillo,VOLEIBOL,24.0,94.7,170.0,63.0,17.5,3.57,ATACANTE
Matías Silva,CICLISMO,33.0,102.0,199.0,83.0,7.9,7.78,DEFENSA
Gonzalo Fuentes,VOLEIBOL,38.0,60.9,177.0,50.0,5.5,2.77,DELANTERO
Sebastián Rojas,NATACIÓ,27.0,79.7,174.0,65.0,14.6,1.45,
Pilar Contreras,FUTBOL,20.0,55.7,159.0,58.0,8.7,7.29,DELANTERO
Juan López,ATLETISMO,38.0,92.4,183.0,72.0,9.4,8.49,PORTERO
Patricia Ramos,RUGBY,36.0,64.1,179.0,71.0,3.4,6.85,ATACANTE
Marisol Figueroa,NATACION,44.0,102.0,161.0,82.0,17.0,1.08,DELANTERO
Andrés Flores,FUTBOL,31.0,82.1,191.0,90.0,8.5,2.14,DELANTERO
Sebastián Rojas,NATACIÓ,44.0,55.2,194.0,82.0,20.6,2.31,NADADOR
Mauricio Vega,BOXEO,44.0,73.8,180.0,83.0,13.866635071090046,3.07,NADADOR
Isabella Castro,BALONCESTO,39.0,89.2,186.0,69.0,16.9,9.44,
César Sepúlveda,RUGBY,40.0,91.3,165.0,77.0,4.8,2.53,ATACANTE
Nicolás Reyes,FUTBOL,31.0,78.8,188.0,64.0,9.6,6.87,DEFENSA
Roberto Castillo,NATACIÓ,41.0,76.5,175.0,56.0,21.5,5.09,CORREDOR
Sebastián Rojas,TENIS,16.0,85.9,187.0,65.0,7.7,1.66,CORREDOR
Daniela Vargas,VOLEIBOL,36.0,103.9,194.0,56.0,19.9,1.36,DELANTERO
Eduardo Soto,BALONCESTO,16.0,99.1,158.0,74.0,23.2,2.41,DELANTERO
Cristian Medina,NATACION,35.0,80.0,173.0,76.0,10.6,9.8,NADADOR
Ricardo Álvarez,BALONCESTO,17.0,99.2,179.5212464589235,78.0,4.0,2.64,DELANTERO
Daniela Vargas,RUGBY,20.0,56.2,160.0,79.0,9.1,5.81,DELANTERO
Isabella Castro,BOXEO,17.0,72.3,280.0,46.0,19.7,1.27,DEFENSA
Mauricio Vega,TENIS,22.0,88.8,179.5212464589235,57.0,19.0,3.1,MEDIOCAMPISTA
Carolina Ríos,BALONCESTO,32.0,61.5,194.0,61.0,16.8,7.2,
Fernanda Jiménez,VOLEIBOL,38.0,87.6,191.0,68.0,4.3,1.27,NADADOR
Eduardo Soto,TENIS,26.0,80.09667630057803,199.0,82.0,13.866635071090046,5.53,PORTERO
Isabella Castro,TENIS,21.0,70.8,188.0,67.0,0.1,1.75,ATACANTE
Juan López,BASKETBALL,43.0,64.2,160.0,78.0,22.0,5.583822014051522,DELANTERO
Roberto Castillo,TENNIS,200.0,94.3,201.0,69.0,6.4,7.93,CORREDOR
Alejandro Núñez,ATLETISMO,44.0,87.9,198.0,86.0,13.866635071090046,1.29,DELANTERO
Enrique Valenzuela,ATLETISMO,40.0,104.6,198.0,73.0,6.0,5.29,DEFENSA
Andrés Flores,BALONCESTO,19.0,82.7,168.0,76.0,17.9,6.31,DEFENSA
Mónica Ortega,NATACION,23.0,99.6,280.0,69.0,21.6,8.99,
Sebastián Rojas,TENNIS,26.0,83.6,169.0,77.0,6.7,5.77,DEFENSA
Fernanda Jiménez,TENNIS,40.0,77.2,172.0,45.0,10.1,6.67,CICLISTA
Marcela Varela,ATLETISMO,23.0,89.8,184.0,65.0,19.4,4.99,DEFENSA
Alejandro Núñez,NATACIÓ,36.0,94.3,192.0,88.0,8.7,4.79,DEFENSA
Camila Díaz,NATACION,18.0,91.4,166.0,77.0,19.4,1.46,
Javiera Espinoza,FUTBOL,21.0,65.4,189.0,89.0,20.7,8.54,DELANTERO
Enrique Valenzuela,TENIS,37.0,94.6,162.0,85.0,14.9,8.54,CORREDOR
Eduardo Soto,TENIS,23.0,73.6,180.0,75.0,11.0,5.55,MEDIOCAMPISTA
Fernanda Jiménez,VOLEIBOL,34.0,81.2,191.0,58.0,18.8,8.46,DELANTERO
Carlos Pérez,VOLEIBOL,27.0,56.5,187.0,71.0,13.2,8.83,MEDIOCAMPISTA
Cristian Medina,NATACIÓ,24.0,80.1,174.0,78.0,12.3,2.93,
César Sepúlveda,TENIS,32.0,58.0,177.0,72.0,9.7,4.09,PORTERO
Matías Silva,VOLEIBOL,23.0,78.8,177.0,55.0,23.1,1.24,DEFENSA
Diego Torres,NATACION,20.0,100.3,178.0,75.0,19.8,1.94,NADADOR
Juan López,NATACION,31.050934579439254,68.2,169.0,69.75212464589235,3.5,3.36,MEDIOCAMPISTA
Verónica Aguilar,TENIS,22.0,67.7,166.0,70.0,16.4,5.583822014051522,PORTERO
